file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0171_0246_2296491_to_2304893,སུར་ཀློག་གི་ཡོད། ང་རང་ང་རང་ཀློག་གི་ཡོད། བྱས་ན་སྐད་བརྒྱབ་བྱས་ག་རེ་བྱེད་ཀ འདི་སྙན་ངག་རེད།  ,sur klog gi yod/_nga rang nga rang klog gi yod/_byas na skad brgyab byas ga re byed ka_'di snyan ngag red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0171_0246_2296491_to_2304893.wav,STT_MV,3,89,8.402,wav16k/STT_MV0171_0246_2296491_to_2304893.wav,སུར་སལོག་གི་ཡོད། ང་རང་ང་རང་ཀློག་གི་ཡོད། བྱས་ན་སྐད་བརྒྱབ་བྱས་ག་རེ་བྱེད་ཀ འདི་སྙན་ངག་རེད།
STT_MV0171_0249_2314884_to_2324002,སྣང་དག་བློ་མཐུན་ཌོས་ཝིན། སྐད་བརྒྱབ་བྱས་མ་ཀློག་ན་དགའ་གི་རེད།  ,snang dag blo mthun Dos win/_skad brgyab byas ma klog na dga' gi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0171_0249_2314884_to_2324002.wav,STT_MV,3,61,9.118,wav16k/STT_MV0171_0249_2314884_to_2324002.wav,སྣང་དག་བློ་མཐུན་ཌོས་ཝིན། སྐད་བརྒྱབ་བྱས་མ་ཀློག་ན་དགའ་གི་རེད།
STT_AB00294_0064_670042_to_681894,ཁང་ལ་བསོད་ནམས་དར་རྒྱས་ནོན་པའི་ཁྲིམས་ཤིག་མེད་པ་ཡིན་ནམ་ཡང་ན་ཁྱོད་ཚོ་ཁོ་ལ་སྐྲག་པ་ཡིན། ཁྱོད་ཚོ་མི་དམངས་ཁྲིམས་ཁང་གིས་ང་འབྱོར་མེད་གྲལ་རིམ་ར་ལོ་ལ་རོགས་བྱེད་ན་དེ་རིང་ཡིན་ལ་མ་བྱེད་ནའང་དེ་རིང་ཡིན།  ,khang la bsod nams dar rgyas non pa'i khrims shig med pa yin nam yang na khyod tsho kho la skrag pa yin/_khyod tsho mi dmangs khrims khang gis nga 'byor med gral rim ra lo la rogs byed na de ring yin la ma byed na'ang de ring yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00294_0064_670042_to_681894.wav,STT_AB,3,188,11.852,wav16k/STT_AB00294_0064_670042_to_681894.wav,ལ་བསོད་ནམས་དར་རྒྱས་ནོན་པའི་ཁྲིམས་ཤིག་མེད་པ་ཡིན་ན། ཡང་ན་ཁྱོད་ཚོ་ཁོ་ལ་སྐྲག་པ་ཡིན། ཁྱོད་ཚོ་མི་མང་ཁྲིམས་ཁང་གིས་ང་འཇོར་མུས་གྲལ་རིམ་ར་རོ་ལ་རོགས་ལམ་བྱས་ན་དེ་རིང་ཡིན་ལ། མ་བྱེད་ནའང་དེ་རིང་རེད།
STT_MV0472_0030_348516_to_349942,ཁོང་གིས།  ,khong gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0472_0030_348516_to_349942.wav,STT_MV,3,10,1.426,wav16k/STT_MV0472_0030_348516_to_349942.wav,ཁོང་གིས།
STT_AB00294_0063_658191_to_670042,དེ་རྟ་བརྐུ་མྱོང་། ད་ལོ་ཡང་ཨ་ནེ་མཚོ་སྐྱིད་ཚང་གི་མཛོ་མོ་རྒན་བརྐུས་ནས་ཧོས་ཧོས་ཤིག་ལ་བཙོངས། ཁ་སང་ཡང་ཁོས་ཅི་མི་སྙམ་པར་ང་ལ་རྡུང་རྡེག་བྱས་པར་མ་ཟད་ངའི་ཆུང་མའང་ཕྲོགས་སོང་། དེས་ན་ཁྱོད་ཚོ་ཁྲིམས་ཁང་ ,de rta brku myong /_da lo yang a ne mtsho skyid tshang gi mdzo mo rgan brkus nas hos hos shig la btsongs/_kha sang yang khos ci mi snyam par nga la rdung rdeg byas par ma zad nga'i chung ma'ang phrogs song /_des na khyod tsho khrims khang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00294_0063_658191_to_670042.wav,STT_AB,3,187,11.851,wav16k/STT_AB00294_0063_658191_to_670042.wav,དེ་ལྟ་སྐུལ་མྱོང་། ད་ལོ་ཡང་ཨ་ནེ་མཚོ་སྐྱིད་ཚང་གི་རོ་མོ་རྒན་བསྐུལ་ནས་ཧོ་འོད་ཞིག་ལ་བཙོང་། ཁ་སང་ཡང་ཁོས་ཅི་མི་སྙམ་པར་ང་ལ་རྡུང་ྒད་བྱས་པ་མ་ཟད། ངའི་ཆུང་མའང་གྲོགས་སོང་། དེས་ན་ཁྱེད་ཚོ་ཁྲིམས་་
STT_MV0943_0288_2063864_to_2073171,ཁོང་གིས་ཏན་ཏན་ངེད་གཉིས་བཙལ་གི་རེད། ཁྱེད་རང་ང་ཚོ་མཉམ་དུར་ཡོད་ན་ཏན་ཏན་ཐུག་གི་རེད་ད། ངེད་གཉིས་སྤུན་གྲོགས་གཉིས་ལས་སྐྱོ་པོ་སོང་ཙང་། ཁྱེད་རང་གི་རྗེས་རབས་པ་བྱེད་རྒྱུ་རེད་ཤག་ ,khong gis tan tan nged gnyis btsal gi red/_khyed rang nga tsho mnyam dur yod na tan tan thug gi red da/_nged gnyis spun grogs gnyis las skyo po song tsang /_khyed rang gi rjes rabs pa byed rgyu red shag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0943_0288_2063864_to_2073171.wav,STT_MV,3,167,9.307,wav16k/STT_MV0943_0288_2063864_to_2073171.wav,ཁོང་གིས་ཏན་ཏན་ངེད་གཉིས་བཙལ་གི་རེད། ཁྱེད་རང་ང་ཚོ་མཉམ་དུ་ཡོད་ན་ཏན་ཏན་ཐུག་གི་རེད་ད། ངེད་གཉིས་སྤུན་གྲོགས་གཉིས་ལས་སྐྱོ་པོ་སོང་ཙང་། ཁྱེད་རང་གི་རྗེས་རབས་པ་བྱེད་རྒྱུ་རེད་ཤག
STT_AB00294_0068_718024_to_729676,ཇེ་འཇམ་དུ་སོང་ནས་ང་ལ་ཁ་བརྡ་བྱས་བྱུང་། གཤམ་ནི་ར་ལོ་ངེད་གཉིས་ཁ་བྲལ་རྗེས་ཀྱི་དོན་དག་འགའ་ཡིན་ལ། ངས་སྒྲུང་རྩོམ་གྱི་ཁྱད་ཆོས་ཡོང་ཆེད་འཕྲི་སྣོན་ཅུང་ཙམ་བྱས་པ་མ་གཏོགས་ཕལ་ཆེར་དངོས་དོན་ཡིན་པས་སྙིང་ཉེ་བའི་ ,je 'jam du song nas nga la kha brda byas byung /_gsham ni ra lo nged gnyis kha bral rjes kyi don dag 'ga' yin la/_ngas sgrung rtsom gyi khyad chos yong ched 'phri snon cung tsam byas pa ma gtogs phal cher dngos don yin pas snying nye ba'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00294_0068_718024_to_729676.wav,STT_AB,3,193,11.652,wav16k/STT_AB00294_0068_718024_to_729676.wav,ཞི་འཆམ་དུ་སོང་ནས་ང་ལ་ཁ་ཏ་བྱས་བྱུང་། གཤམ་ནི་ར་ལོ་ངེད་གཉིས་ཁ་བྲལ་རྗེས་ཀྱི་དོན་དག་འགའ་ཡིན་ལ། ངས་ྒྲུང་འཛོམ་ཀྱིས་ཁྱད་གསོད་ཡོང་རྗེས་འབྲེ་གནོན་ཅུང་ཙམ་བྱས་པ་མ་གཏོགས་ཕལ་ཆེར་དངོས་དོན་ཡིན་པས་སྙིང་ཉེ་བའ་
STT_PC0165_0111_714542_to_719374,ཨེ་ནས་ཕར་ཕྱོགས་དེ་ཡང་སོ་སོ་མོས་མཐུན་བྱས། སོ་སོ་ཡང་མོས་མཐུན་བྱས། གཉིས་ཀ་མོས་མཐུན་བྱས་རྒྱོ་རེད་མ་གཏོགས། བཙན་པོ་ཨུ་ཚུགས་བྱས་མི་མཉམ་དུ་སྦྱར་བཞག་རྒྱོ་དེ།  ,e nas phar phyogs de yang so so mos mthun byas/_so so yang mos mthun byas/_gnyis ka mos mthun byas rgyo red ma gtogs/_btsan po u tshugs byas mi mnyam du sbyar bzhag rgyo de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0165_0111_714542_to_719374.wav,STT_PC,3,150,4.832,wav16k/STT_PC0165_0111_714542_to_719374.wav,ཨེ་ནས་ཕར་ཕྱོགས་དེ་ཡང་སོ་སོས་མོས་མཐུན་བྱས། སོ་སོ་ཡང་མོས་མཐུན་བྱས། གཉིས་ཀ་མོས་མཐུན་བྱེས་རྒྱོ་རེད་མ་གཏོགས། བཙན་པོ་ཨུ་ཚུགས་བྱས།་མིའི་མཉམ་དུ་བསྦྱར་བཞག་རྒྱོ་དེ།
STT_AB00269_0154_1196476_to_1208498,སྤེན་པས་སྐད་ཆ་ཉན་བཞིན། ཨ་ལས། ད་བྱེད་དུས་གནས་ཚུལ་དེ་འདྲ་པོ་འདུག གལ་སྲིད་སྤོ་བོ་དབང་རྒྱལ་གྱིས་ལྕགས་བཟོ་བྱས་པར་ད་ལྟའི་མི་རབས་འདི་སུས་དོགས་པ་བྱེད་སྲིད་ཀྱི་མ་རེད། ཡིན་ནས་མི་རབས་གཉིས་ཙམ་འགྲོ་དུས་ ,spen pas skad cha nyan bzhin/_a las/_da byed dus gnas tshul de 'dra po 'dug_gal srid spo bo dbang rgyal gyis lcags bzo byas par da lta'i mi rabs 'di sus dogs pa byed srid kyi ma red/_yin nas mi rabs gnyis tsam 'gro dus _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00269_0154_1196476_to_1208498.wav,STT_AB,3,190,12.022,wav16k/STT_AB00269_0154_1196476_to_1208498.wav,སྤེན་པས་སྐད་ཆ་ཉན་ཞིང་། ཨ་ལེ། ད་བྱེད་དུས་གནས་ཚུལ་དེ་འདྲ་པོ་འདུག གལ་སྲིད་སྤོ་བོ་དབང་རྒྱལ་གྱིས་ལྕགས་བཟོག་བྱས་པར་ད་ལྟའི་མི་རབས་འདིར་སུས་དོགས་པ་བྱེད་སྲིད་ཀྱི་མ་རེད། ཡིན་ནས་མི་རབས་གཉིས་ཙམ་འགྲོ་
STT_MV0943_0290_2077266_to_2084261,ཨོ་རེད། ཁྱེད་རང་གཉིས་ཀིས་རྩིས་ཐོ་དེ་ག་དུས་གོང་མར་སྤྲད་མྱི་ཡིན་པ་ ,o red/_khyed rang gnyis kis rtsis tho de ga dus gong mar sprad myi yin pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0943_0290_2077266_to_2084261.wav,STT_MV,3,65,6.995,wav16k/STT_MV0943_0290_2077266_to_2084261.wav,འོ་རེད། ཁྱེད་རང་གཉིས་ཀི་རྩིས་ཐོ་དེ་ག་དུས་གོང་མར་སྤྲད་མྱི་ཡིན་པ།
